epoch,brier,loss,nll,val_brier,val_loss,val_nll,learning_rate
1,0.2401864230632782,0.2401864230632782,0.9436560273170471,0.16337358951568604,0.16337358951568604,0.6237290501594543,0.0005000000237487257
2,0.21353302896022797,0.21353302896022797,0.865497350692749,0.16541804373264313,0.16541804373264313,0.6278980374336243,0.0005000000237487257
3,0.20186612010002136,0.20186612010002136,0.8334305882453918,0.1673247218132019,0.1673247218132019,0.6317635178565979,0.0005000000237487257
4,0.20191851258277893,0.20191851258277893,0.8354005217552185,0.1691555380821228,0.1691555380821228,0.6354604363441467,0.0005000000237487257
5,0.1919432431459427,0.1919432431459427,0.8149895071983337,0.17058275640010834,0.17058275640010834,0.6383344531059265,0.0005000000237487257
6,0.18900251388549805,0.18900251388549805,0.8031102418899536,0.17191548645496368,0.17191548645496368,0.6410134434700012,0.0005000000237487257
7,0.17837288975715637,0.17837288975715637,0.7805063724517822,0.1729230135679245,0.1729230135679245,0.6430342197418213,0.0005000000237487257
8,0.18005992472171783,0.18005992472171783,0.7915825247764587,0.17395265400409698,0.17395265400409698,0.6450972557067871,0.0005000000237487257
9,0.17416895925998688,0.17416895925998688,0.7776053547859192,0.17527055740356445,0.17527055740356445,0.6477410793304443,0.0002500000118743628
10,0.1701977401971817,0.1701977401971817,0.7708625793457031,0.1763405203819275,0.1763405203819275,0.6498875617980957,0.0002500000118743628
11,0.16901618242263794,0.16901618242263794,0.7680982351303101,0.17726169526576996,0.17726169526576996,0.6517354249954224,0.0002500000118743628
12,0.16323710978031158,0.16323710978031158,0.7579907774925232,0.17810781300067902,0.17810781300067902,0.6534326672554016,0.0002500000118743628
13,0.16306756436824799,0.16306756436824799,0.7614641785621643,0.17891699075698853,0.17891699075698853,0.6550559997558594,0.0002500000118743628
14,0.16656765341758728,0.16656765341758728,0.7726105451583862,0.17956922948360443,0.17956922948360443,0.6563646197319031,0.0002500000118743628
15,0.16296808421611786,0.16296808421611786,0.7622414827346802,0.180132195353508,0.180132195353508,0.6574943661689758,0.0002500000118743628
16,0.16554976999759674,0.16554976999759674,0.7698811888694763,0.18091851472854614,0.18091851472854614,0.6590723991394043,0.0001250000059371814
